game,algo1,algo2,winner,nb_move
connect4,Alphabeta_3,MCTS_0.2,Alphabeta,15
connect4,MCTS_0.2,MCTS_1.0,MCTS,27
connect4,Alphabeta_3,MCTS_0.3,Alphabeta,7
connect4,Alphabeta_3,MCTS_0.2,Alphabeta,15
connect4,Alphabeta_3,Alphabeta_2,Alphabeta,26
connect4,Alphabeta_3,MCTS_0.3,Alphabeta,7
connect4,Alphabeta_3,Minimax_2,Minimax,20
connect4,Alphabeta_3,MCTS_0.3,Alphabeta,11
connect4,MCTS_0.2,Minimax_4,Minimax,16
connect4,Alphabeta_3,Minimax_3,Minimax,32
connect4,Alphabeta_3,MCTS_0.4,Alphabeta,9
connect4,Alphabeta_3,MCTS_0.4,Alphabeta,17
connect4,Alphabeta_3,Minimax_3,Minimax,34
connect4,Alphabeta_3,Minimax_3,Alphabeta,23
connect4,MCTS_0.2,Minimax_4,Minimax,12
connect4,Alphabeta_3,Alphabeta_4,Alphabeta,22
connect4,Alphabeta_3,Alphabeta_4,Alphabeta,28
connect4,Alphabeta_3,Alphabeta_4,Alphabeta,35
connect4,Alphabeta_3,MCTS_0.4,Alphabeta,33
connect4,Alphabeta_3,Alphabeta_5,Alphabeta,15
connect4,Alphabeta_3,MCTS_0.6,Alphabeta,7
connect4,Alphabeta_3,MCTS_0.5,Alphabeta,17
connect4,Alphabeta_3,MCTS_0.5,Alphabeta,19
connect4,Alphabeta_3,MCTS_0.6,Alphabeta,7
connect4,Alphabeta_3,MCTS_0.5,Alphabeta,21
connect4,Alphabeta_3,MCTS_0.7,Alphabeta,11
connect4,Alphabeta_3,MCTS_0.7,Alphabeta,13
connect4,Alphabeta_3,MCTS_0.6,Alphabeta,21
connect4,Alphabeta_3,MCTS_0.7,Alphabeta,15
connect4,Alphabeta_3,MCTS_0.8,Alphabeta,13
connect4,Alphabeta_3,MCTS_0.8,Alphabeta,17
connect4,Alphabeta_3,MCTS_0.8,Alphabeta,23
connect4,Alphabeta_3,MCTS_0.9,Alphabeta,11
connect4,Alphabeta_3,MCTS_0.9,Alphabeta,9
connect4,Alphabeta_3,MCTS_0.9,Alphabeta,13
connect4,Alphabeta_3,MCTS_1.0,Alphabeta,19
connect4,Alphabeta_3,MCTS_1.0,Alphabeta,15
connect4,Alphabeta_3,MCTS_1.0,Alphabeta,15
connect4,Alphabeta_3,Alphabeta_5,Alphabeta,38
connect4,Minimax_3,Minimax_1,Minimax,27
connect4,Minimax_3,Minimax_1,Minimax,27
connect4,Minimax_3,MCTS_0.1,Minimax,7
connect4,Minimax_3,MCTS_0.1,Minimax,11
connect4,Minimax_3,Alphabeta_1,Minimax,29
connect4,Minimax_3,MCTS_0.1,Minimax,11
connect4,Minimax_3,Alphabeta_1,Minimax,27
connect4,Minimax_3,Minimax_1,Minimax,27
connect4,Minimax_3,Alphabeta_1,Minimax,29
connect4,Minimax_3,Alphabeta_2,Alphabeta,36
connect4,Alphabeta_3,Minimax_4,Minimax,20
connect4,Minimax_3,Alphabeta_2,Minimax,23
connect4,Minimax_3,Minimax_2,Minimax,39
connect4,Alphabeta_3,Alphabeta_5,Alphabeta,39
connect4,Minimax_3,MCTS_0.2,Minimax,11
connect4,Minimax_3,MCTS_0.2,Minimax,21
connect4,Minimax_3,MCTS_0.2,Minimax,11
connect4,Minimax_3,Minimax_2,Minimax,39
connect4,Minimax_3,MCTS_0.3,Minimax,11
connect4,Minimax_3,Alphabeta_3,Minimax,35
connect4,Minimax_3,Alphabeta_3,Minimax,31
connect4,Minimax_3,MCTS_0.3,Minimax,7
connect4,Minimax_3,Minimax_2,Minimax,39
connect4,Minimax_3,Alphabeta_3,Minimax,21
connect4,Minimax_3,Alphabeta_2,Minimax,31
connect4,Minimax_3,MCTS_0.3,Minimax,13
connect4,Alphabeta_3,Minimax_4,Minimax,30
connect4,Minimax_3,Alphabeta_4,Alphabeta,32
connect4,Minimax_3,Alphabeta_4,Minimax,29
connect4,Minimax_3,Alphabeta_4,Minimax,21
connect4,Minimax_3,MCTS_0.4,Minimax,13
connect4,Minimax_3,MCTS_0.4,Minimax,13
connect4,Minimax_3,MCTS_0.4,Minimax,11
connect4,Minimax_3,MCTS_0.5,Minimax,13
connect4,Minimax_3,MCTS_0.6,Minimax,9
connect4,Minimax_3,MCTS_0.5,Minimax,15
connect4,Minimax_3,MCTS_0.5,Minimax,11
connect4,Minimax_3,MCTS_0.6,Minimax,11
connect4,Alphabeta_3,Minimax_4,Minimax,30
connect4,Minimax_3,Alphabeta_5,Minimax,39
connect4,Minimax_3,MCTS_0.7,Minimax,11
connect4,Minimax_3,MCTS_0.7,Minimax,11
connect4,Minimax_3,MCTS_0.7,Minimax,9
connect4,Minimax_3,MCTS_0.8,Minimax,11
connect4,Minimax_3,Alphabeta_5,Minimax,11
connect4,Minimax_3,MCTS_0.8,Minimax,11
connect4,Minimax_3,MCTS_0.6,Minimax,11
connect4,Minimax_3,MCTS_0.9,Minimax,9
connect4,Minimax_3,MCTS_1.0,Minimax,7
connect4,MCTS_0.3,Alphabeta_1,Alphabeta,12
connect4,MCTS_0.3,Alphabeta_1,Alphabeta,8
connect4,MCTS_0.3,Alphabeta_1,Alphabeta,14
connect4,Minimax_3,MCTS_0.8,Minimax,13
connect4,MCTS_0.3,Minimax_1,Minimax,10
connect4,MCTS_0.3,Minimax_1,Minimax,16
connect4,MCTS_0.3,Minimax_1,Minimax,20
connect4,Minimax_3,MCTS_0.9,Minimax,21
connect4,Minimax_3,Alphabeta_5,Minimax,27
connect4,MCTS_0.3,MCTS_0.1,MCTS,19
connect4,MCTS_0.3,MCTS_0.1,MCTS,13
connect4,MCTS_0.3,Alphabeta_2,Alphabeta,8
connect4,MCTS_0.3,Alphabeta_2,Alphabeta,22
connect4,MCTS_0.3,Minimax_2,Minimax,10
connect4,MCTS_0.3,MCTS_0.1,MCTS,23
connect4,MCTS_0.3,Alphabeta_2,Alphabeta,16
connect4,MCTS_0.3,Minimax_2,Minimax,12
connect4,Minimax_3,MCTS_1.0,Minimax,11
connect4,MCTS_0.3,MCTS_0.2,MCTS,12
connect4,Minimax_3,MCTS_1.0,Minimax,17
connect4,MCTS_0.3,MCTS_0.2,MCTS,12
connect4,MCTS_0.3,Minimax_2,Minimax,18
connect4,MCTS_0.3,Alphabeta_3,Alphabeta,8
connect4,Minimax_3,Minimax_4,Minimax,38
connect4,MCTS_0.3,Alphabeta_3,Alphabeta,20
connect4,MCTS_0.3,MCTS_0.2,MCTS,30
connect4,Minimax_3,MCTS_0.9,Minimax,25
connect4,MCTS_0.3,Alphabeta_4,Alphabeta,10
connect4,MCTS_0.3,Alphabeta_3,Alphabeta,22
connect4,MCTS_0.3,Alphabeta_4,Alphabeta,14
connect4,MCTS_0.3,Alphabeta_4,Alphabeta,10
connect4,MCTS_0.3,Minimax_3,Minimax,8
connect4,MCTS_0.3,Minimax_3,Minimax,12
connect4,MCTS_0.3,MCTS_0.4,MCTS,23
connect4,MCTS_0.3,Minimax_3,Minimax,22
connect4,MCTS_0.3,MCTS_0.4,MCTS,29
connect4,MCTS_0.3,MCTS_0.4,MCTS,32
connect4,MCTS_0.3,Alphabeta_5,Alphabeta,20
connect4,Minimax_3,Minimax_4,Minimax,38
connect4,Minimax_3,Minimax_4,Minimax,38
connect4,MCTS_0.3,MCTS_0.5,MCTS,15
connect4,MCTS_0.3,MCTS_0.5,MCTS,22
connect4,MCTS_0.3,MCTS_0.7,MCTS,19
connect4,MCTS_0.3,MCTS_0.6,MCTS,20
connect4,MCTS_0.3,MCTS_0.5,MCTS,38
connect4,MCTS_0.3,MCTS_0.6,MCTS,26
connect4,MCTS_0.3,MCTS_0.8,MCTS,9
connect4,MCTS_0.3,MCTS_0.8,MCTS,10
connect4,MCTS_0.3,Alphabeta_5,Alphabeta,32
connect4,MCTS_0.3,Minimax_4,Minimax,16
connect4,MCTS_0.3,MCTS_0.7,MCTS,24
connect4,MCTS_0.3,MCTS_0.7,MCTS,23
connect4,MCTS_0.3,Alphabeta_5,Alphabeta,24
connect4,MCTS_0.3,MCTS_0.6,draw,48
connect4,MCTS_0.3,MCTS_0.9,MCTS,17
connect4,MCTS_0.3,MCTS_0.9,MCTS,15
connect4,MCTS_0.3,Minimax_4,Minimax,12
connect4,MCTS_0.3,MCTS_0.9,MCTS,21
connect4,MCTS_0.3,MCTS_0.8,MCTS,26
connect4,Alphabeta_4,Minimax_1,Minimax,8
connect4,MCTS_0.3,MCTS_1.0,MCTS,19
connect4,Alphabeta_4,MCTS_0.1,Alphabeta,9
connect4,Alphabeta_4,MCTS_0.1,Alphabeta,15
connect4,Alphabeta_4,MCTS_0.1,Alphabeta,9
connect4,MCTS_0.3,MCTS_1.0,MCTS,28
connect4,Alphabeta_4,Minimax_1,Minimax,28
connect4,Alphabeta_4,Alphabeta_1,Alphabeta,35
connect4,Alphabeta_4,Alphabeta_1,Alphabeta,35
connect4,Alphabeta_4,Alphabeta_2,Alphabeta,24
connect4,Alphabeta_4,Minimax_1,Minimax,38
connect4,MCTS_0.3,MCTS_1.0,MCTS,31
connect4,Alphabeta_4,Alphabeta_1,Alphabeta,29
connect4,Alphabeta_4,Minimax_2,Alphabeta,29
connect4,Alphabeta_4,Alphabeta_2,Alphabeta,24
connect4,Alphabeta_4,MCTS_0.2,Alphabeta,13
connect4,Alphabeta_4,MCTS_0.2,Alphabeta,11
connect4,Alphabeta_4,Alphabeta_3,Alphabeta,13
connect4,Alphabeta_4,Alphabeta_2,Alphabeta,30
connect4,Alphabeta_4,Minimax_2,Minimax,20
connect4,Alphabeta_4,Alphabeta_3,Alphabeta,27
connect4,Alphabeta_4,MCTS_0.2,Alphabeta,21
connect4,Alphabeta_4,MCTS_0.3,Alphabeta,13
connect4,Alphabeta_4,Minimax_2,Minimax,24
connect4,Alphabeta_4,MCTS_0.3,Alphabeta,13
connect4,Alphabeta_4,MCTS_0.4,Alphabeta,7
connect4,Alphabeta_4,MCTS_0.4,Alphabeta,11
connect4,Alphabeta_4,MCTS_0.4,Alphabeta,7
connect4,Alphabeta_4,MCTS_0.3,Alphabeta,11
connect4,MCTS_0.3,Minimax_4,Minimax,22
connect4,Alphabeta_4,Minimax_3,Minimax,32
connect4,Alphabeta_4,Alphabeta_3,Alphabeta,36
connect4,Alphabeta_4,Minimax_3,Minimax,26
connect4,Alphabeta_4,MCTS_0.5,Alphabeta,9
connect4,Alphabeta_4,MCTS_0.6,Alphabeta,9
connect4,Alphabeta_4,MCTS_0.5,Alphabeta,15
connect4,Alphabeta_4,MCTS_0.6,Alphabeta,15
connect4,Alphabeta_4,MCTS_0.5,Alphabeta,17
connect4,Alphabeta_4,Minimax_3,Minimax,28
connect4,Alphabeta_4,MCTS_0.7,Alphabeta,7
connect4,Alphabeta_4,MCTS_0.7,Alphabeta,15
connect4,Alphabeta_4,MCTS_0.8,Alphabeta,7
connect4,Alphabeta_4,MCTS_0.8,Alphabeta,13
connect4,Alphabeta_4,MCTS_0.6,Alphabeta,19
connect4,Alphabeta_4,MCTS_0.7,Alphabeta,17
connect4,Alphabeta_4,MCTS_0.9,Alphabeta,7
connect4,Alphabeta_4,Minimax_4,Alphabeta,41
connect4,Alphabeta_4,MCTS_0.8,Alphabeta,25
connect4,Alphabeta_4,MCTS_0.9,Alphabeta,11
connect4,Alphabeta_4,Alphabeta_5,Alphabeta,32
connect4,Alphabeta_4,MCTS_1.0,Alphabeta,19
connect4,Alphabeta_4,MCTS_1.0,Alphabeta,13
connect4,Alphabeta_4,Alphabeta_5,Alphabeta,40
connect4,Alphabeta_4,MCTS_0.9,Alphabeta,21
connect4,Alphabeta_4,MCTS_1.0,Alphabeta,27
connect4,Minimax_4,Minimax_1,Minimax,25
connect4,Alphabeta_4,Alphabeta_5,Alphabeta,31
connect4,Minimax_4,Alphabeta_1,Minimax,15
connect4,Minimax_4,MCTS_0.1,Minimax,7
connect4,Alphabeta_4,Minimax_4,Alphabeta,19
connect4,Minimax_4,Minimax_1,Minimax,25
connect4,Minimax_4,MCTS_0.1,Minimax,13
connect4,Minimax_4,Alphabeta_1,Minimax,15
connect4,Minimax_4,Minimax_1,Minimax,25
connect4,Alphabeta_4,Minimax_4,Minimax,32
connect4,Minimax_4,Alphabeta_2,Minimax,15
connect4,Minimax_4,MCTS_0.1,Minimax,11
connect4,Minimax_4,Alphabeta_1,Minimax,33
connect4,Minimax_4,Alphabeta_2,Minimax,25
connect4,Minimax_4,MCTS_0.2,Minimax,7
connect4,Minimax_4,Minimax_2,Minimax,38
connect4,Minimax_4,Minimax_2,Minimax,38
connect4,Minimax_4,MCTS_0.2,Minimax,11
connect4,Minimax_4,Alphabeta_2,Alphabeta,38
connect4,Minimax_4,Minimax_3,Minimax,36
connect4,Minimax_4,Minimax_3,Minimax,36
connect4,Minimax_4,Minimax_2,Minimax,38
connect4,Minimax_4,Alphabeta_3,Minimax,33
connect4,Minimax_4,MCTS_0.2,Minimax,15
connect4,Minimax_4,Minimax_3,Minimax,36
connect4,Minimax_4,MCTS_0.3,Minimax,7
connect4,Minimax_4,MCTS_0.3,Minimax,17
connect4,Minimax_4,MCTS_0.4,Minimax,11
connect4,Minimax_4,Alphabeta_4,Minimax,21
connect4,Minimax_4,Alphabeta_4,Alphabeta,40
connect4,Minimax_4,Alphabeta_3,Minimax,33
connect4,Minimax_4,MCTS_0.5,Minimax,7
connect4,Minimax_4,Alphabeta_3,Minimax,31
connect4,Minimax_4,MCTS_0.3,Minimax,13
connect4,Minimax_4,MCTS_0.4,Minimax,15
connect4,Minimax_4,MCTS_0.5,Minimax,7
connect4,Minimax_4,MCTS_0.4,Minimax,11
connect4,Minimax_4,MCTS_0.6,Minimax,11
connect4,Minimax_4,Alphabeta_5,Minimax,19
connect4,Minimax_4,MCTS_0.6,Minimax,7
connect4,Minimax_4,MCTS_0.8,Minimax,15
connect4,Minimax_4,Alphabeta_5,Minimax,29
connect4,Minimax_4,Alphabeta_4,Minimax,31
connect4,Minimax_4,MCTS_0.6,Minimax,13
connect4,Minimax_4,MCTS_0.7,Minimax,17
connect4,Minimax_4,MCTS_0.7,Minimax,13
connect4,Minimax_4,MCTS_0.5,Minimax,17
connect4,Minimax_4,MCTS_0.7,Minimax,13
connect4,MCTS_0.4,Alphabeta_1,Alphabeta,36
connect4,MCTS_0.4,Alphabeta_1,Alphabeta,8
connect4,Minimax_4,MCTS_0.9,Minimax,7
connect4,Minimax_4,MCTS_0.9,Minimax,7
connect4,MCTS_0.4,Minimax_1,Minimax,8
connect4,MCTS_0.4,Minimax_1,Minimax,10
connect4,MCTS_0.4,Alphabeta_1,Alphabeta,14
connect4,MCTS_0.4,Minimax_1,Minimax,16
connect4,Minimax_4,MCTS_1.0,Minimax,7
connect4,Minimax_4,MCTS_1.0,Minimax,7
connect4,Minimax_4,MCTS_0.8,Minimax,21
connect4,Minimax_4,MCTS_1.0,Minimax,7
connect4,Minimax_4,MCTS_0.9,Minimax,11
connect4,MCTS_0.4,Alphabeta_2,Alphabeta,10
connect4,MCTS_0.4,Minimax_2,Minimax,18
connect4,MCTS_0.4,Minimax_2,Minimax,20
connect4,MCTS_0.4,MCTS_0.1,MCTS,19
connect4,MCTS_0.4,Alphabeta_2,Alphabeta,24
connect4,MCTS_0.4,Alphabeta_2,Alphabeta,30
connect4,MCTS_0.4,Minimax_2,Minimax,20
connect4,MCTS_0.4,MCTS_0.2,MCTS,11
connect4,MCTS_0.4,MCTS_0.2,MCTS,20
connect4,MCTS_0.4,MCTS_0.1,MCTS,40
connect4,MCTS_0.4,MCTS_0.1,MCTS,34
connect4,MCTS_0.4,Alphabeta_3,Alphabeta,20
connect4,MCTS_0.4,MCTS_0.2,MCTS,23
connect4,MCTS_0.4,Alphabeta_3,Alphabeta,14
connect4,MCTS_0.4,Alphabeta_3,Alphabeta,18
connect4,MCTS_0.4,MCTS_0.3,MCTS,11
connect4,MCTS_0.4,MCTS_0.3,MCTS,15
connect4,MCTS_0.4,Alphabeta_4,Alphabeta,14
connect4,MCTS_0.4,Alphabeta_4,Alphabeta,16
connect4,MCTS_0.4,MCTS_0.3,MCTS,29
connect4,MCTS_0.4,Minimax_3,Minimax,22
connect4,MCTS_0.4,Minimax_3,Minimax,14
connect4,MCTS_0.4,Alphabeta_4,Alphabeta,28
connect4,MCTS_0.4,Minimax_3,Minimax,24
connect4,MCTS_0.4,Alphabeta_5,Alphabeta,12
connect4,MCTS_0.4,MCTS_0.5,MCTS,26
connect4,MCTS_0.4,Alphabeta_5,Alphabeta,12
connect4,MCTS_0.4,MCTS_0.5,MCTS,26
connect4,MCTS_0.4,MCTS_0.6,MCTS,17
connect4,MCTS_0.4,MCTS_0.6,MCTS,17
connect4,MCTS_0.4,MCTS_0.5,MCTS,32
connect4,MCTS_0.4,MCTS_0.7,MCTS,25
connect4,MCTS_0.4,Minimax_4,Minimax,20
connect4,Minimax_4,Alphabeta_5,Minimax,29
connect4,MCTS_0.4,MCTS_0.6,MCTS,34
connect4,MCTS_0.4,MCTS_0.7,MCTS,17
connect4,MCTS_0.4,MCTS_0.7,MCTS,23
connect4,MCTS_0.4,Minimax_4,Minimax,12
connect4,MCTS_0.4,MCTS_0.8,MCTS,17
connect4,MCTS_0.4,MCTS_0.9,MCTS,7
connect4,Minimax_4,MCTS_0.8,Minimax,17
connect4,MCTS_0.4,MCTS_0.8,MCTS,18
connect4,MCTS_0.4,MCTS_0.9,MCTS,20
connect4,MCTS_0.4,MCTS_0.9,MCTS,17
connect4,MCTS_0.4,MCTS_0.8,MCTS,30
connect4,MCTS_0.4,Alphabeta_5,Alphabeta,22
connect4,MCTS_0.4,MCTS_1.0,MCTS,27
connect4,MCTS_0.4,MCTS_1.0,MCTS,27
connect4,MCTS_0.4,MCTS_1.0,MCTS,29
connect4,Alphabeta_5,Minimax_1,draw,42
connect4,Alphabeta_5,MCTS_0.1,Alphabeta,21
connect4,Alphabeta_5,MCTS_0.1,Alphabeta,9
connect4,Alphabeta_5,Alphabeta_1,Alphabeta,33
connect4,Alphabeta_5,Alphabeta_1,Alphabeta,24
connect4,MCTS_0.4,Minimax_4,Minimax,14
connect4,Alphabeta_5,Alphabeta_2,Alphabeta,34
connect4,Alphabeta_5,MCTS_0.1,Alphabeta,17
connect4,Alphabeta_5,Alphabeta_2,Alphabeta,18
connect4,Alphabeta_5,Alphabeta_1,Alphabeta,28
connect4,Alphabeta_5,Alphabeta_2,Alphabeta,29
connect4,Alphabeta_5,Minimax_2,Minimax,12
connect4,Alphabeta_5,MCTS_0.2,Alphabeta,33
connect4,Alphabeta_5,MCTS_0.2,Alphabeta,13
connect4,Alphabeta_5,Minimax_1,Minimax,32
connect4,Alphabeta_5,Alphabeta_3,Alphabeta,14
connect4,Alphabeta_5,MCTS_0.3,Alphabeta,11
connect4,Alphabeta_5,Minimax_2,Alphabeta,23
connect4,Alphabeta_5,Alphabeta_3,Alphabeta,27
connect4,Alphabeta_5,MCTS_0.3,Alphabeta,15
connect4,Alphabeta_5,Minimax_3,Minimax,20
connect4,Alphabeta_5,MCTS_0.2,Alphabeta,29
connect4,Alphabeta_5,Minimax_1,Minimax,30
connect4,Alphabeta_5,Alphabeta_3,Alphabeta,37
